"276","OYONNAX","01100","23100"
"376","BOURG-EN-BRESSE","01000","40200"
"479","SOISSONS","02200","28500"
"571","LAON","02000","26200"
"1133","SAINT-QUENTIN","02100","56800"
"1295","MONTLUCON","03100","39500"
"1370","VICHY","03200","25200"
"1515","MOULINS","03000","19800"
"1718","MANOSQUE","04100","22300"
"1739","DIGNE-LES-BAINS","04000","17300"
"1819","GAP","05000","38600"
"1939","VENCE","06140","19200"
"1941","GRASSE","06130-06520","51600"
"1972","VALLAURIS","06220","29100"
"2000","ANTIBES","06600-06160","77000"
"2003","CANNES","06400-06150","72900"
"2014","MOUGINS","06250","19700"
"2018","LE CANNET","06110","40900"
"2031","CAGNES-SUR-MER","06800","48900"
"2042","MENTON","06500","28800"
"2044","SAINT-LAURENT-DU-VAR","06700","30300"
"2050","NICE","06000-06100-06200-06300","344900"
"2091","MANDELIEU-LA-NAPOULE","06210","21200"
"2329","ANNONAY","07100","17200"
"2681","CHARLEVILLE-MEZIERES","08090","50900"
"2833","SEDAN","08200","19200"
"3103","PAMIERS","09100","15900"
"3598","TROYES","10000","61500"
"3704","CARCASSONNE","11000","47600"
"3849","NARBONNE","11100","51000"
"4229","RODEZ","12000","24500"
"4287","MILLAU","12100","21900"
"4418","ISTRES","13118-13800","42600"
"4421","AIX-EN-PROVENCE","13080-13090-13100-13290-13540","142700"
"4423","ALLAUCH","13190","18700"
"4437","SALON-DE-PROVENCE","13300","41400"
"4440","MARSEILLE","13001-13002-13003-13004-13005-13006-13007-13008-13009-13010-13011-13012-13013-13014-13015-13016","851400"
"4459","ARLES","13104-13123-13129-13200-13280","52700"
"4462","AUBAGNE","13400","46100"
"4463","MARTIGUES","13117-13500","46500"
"4464","PORT-DE-BOUC","13110","17200"
"4468","VITROLLES","13127","36600"
"4476","MIRAMAS","13140","25600"
"4483","FOS-SUR-MER","13270","15400"
"4487","LES PENNES-MIRABEAU","13170","20200"
"4489","LA CIOTAT","13600","33800"
"4504","MARIGNANE","13700","33900"
"4518","GARDANNE","13120","21100"
"4863","LISIEUX","14100","22100"
"4979","HEROUVILLE-SAINT-CLAIR","14200","22300"
"5022","CAEN","14000","109900"
"5252","AURILLAC","15000","28600"
"5808","COGNAC","16100","19100"
"5849","ANGOULEME","16000","43100"
"5934","SAINTES","17100","26500"
"6038","LA ROCHELLE","17000","75800"
"6077","ROYAN","17200","18500"
"6226","ROCHEFORT","17300","25700"
"6380","VIERZON","18100","27500"
"6622","BOURGES","18000","69000"
"6710","TULLE","19000","15700"
"6911","BRIVE-LA-GAILLARDE","19100","49700"
"7189","BEAUNE","21200","22200"
"7233","DIJON","21000-21100","151600"
"7721","SAINT-BRIEUC","22000","45900"
"7762","LANNION","22300","19700"
"8522","PERIGUEUX","24000","29100"
"8576","BERGERAC","24100","27600"
"9086","PONTARLIER","25300","18600"
"9144","MONTBELIARD","25200","26200"
"9370","BESANCON","25000","117600"
"9472","ROMANS-SUR-ISERE","26100","33400"
"9492","VALENCE","26000","64500"
"9523","MONTELIMAR","26200","34800"
"9649","BOURG-LES-VALENCE","26500","18400"
"9848","LOUVIERS","27400","18200"
"9932","VERNON","27200","25000"
"10341","EVREUX","27000","50800"
"10620","LUCE","28110","15700"
"10622","CHARTRES","28000","39200"
"10704","DREUX","28100","31200"
"10996","CONCARNEAU","29900","20100"
"11032","MORLAIX","29600","15600"
"11101","QUIMPER","29000","63900"
"11114","DOUARNENEZ","29100","15100"
"11152","BREST","29200","142100"
"11196","BEAUCAIRE","30300","15500"
"11336","NIMES","30000-30900","140300"
"11365","BAGNOLS-SUR-CEZE","30200","18500"
"11451","ALES","30100","40500"
"11556","COLOMIERS","31770","33200"
"11572","MURET","31600","23300"
"11626","TOURNEFEUILLE","31170","25600"
"11706","BLAGNAC","31700","21600"
"11719","TOULOUSE","31000-31100-31200-31300-31400-31500","439600"
"11872","CUGNAUX","31270","15900"
"11959","PLAISANCE-DU-TOUCH","31830","16000"
"12288","AUCH","32810","21700"
"12570","LE BOUSCAT","33110","23200"
"12573","LIBOURNE","33500","23700"
"12591","FLOIRAC","33270","16000"
"12621","GRADIGNAN","33170","23300"
"12679","BORDEAUX","33000-33100-33200-33300-33800","235900"
"12708","BEGLES","33130","25000"
"12767","LA TESTE-DE-BUCH","33260","24400"
"12772","EYSINES","33320","18700"
"12801","GUJAN-MESTRAS","33470","18500"
"12811","SAINT-MEDARD-EN-JALLES","33160","27400"
"12922","LORMONT","33310","19900"
"12929","VILLENAVE-D'ORNON","33140","28800"
"12943","CESTAS","33610","16500"
"12981","TALENCE","33400","40600"
"12984","PESSAC","33600","57600"
"13001","MERIGNAC","33700","66100"
"13058","CENON","33150","22500"
"13109","MAUGUIO","34130","15800"
"13174","LATTES","34970","16300"
"13201","AGDE","34300","22500"
"13206","BEZIERS","34500","71700"
"13231","SETE","34200","42800"
"13335","FRONTIGNAN","34110","23200"
"13339","MONTPELLIER","34000-34070-34080-34090","253000"
"13364","LUNEL","34400","24400"
"13468","RENNES","35000-35200-35700","206700"
"13480","SAINT-MALO","35400","48200"
"13550","BRUZ","35170","15600"
"13580","FOUGERES","35300","20100"
"13639","VITRE","35500","16700"
"13727","CESSON-SEVIGNE","35510","15200"
"13895","CHATEAUROUX","36000","46000"
"14057","SAINT-CYR-SUR-LOIRE","37540","15800"
"14124","TOURS","37000-37100-37200","135500"
"14129","SAINT-PIERRE-DES-CORPS","37700","15500"
"14134","JOUE-LES-TOURS","37300","35800"
"14329","VOIRON","38500","20400"
"14353","SAINT-MARTIN-D'HERES","38400","35600"
"14394","MEYLAN","38240","17200"
"14442","FONTAINE","38600","22100"
"14478","ECHIROLLES","38130","35700"
"14505","GRENOBLE","38000-38100","156700"
"14523","BOURGOIN-JALLIEU","38300","24700"
"14587","SAINT-EGREVE","38120","15800"
"14660","VILLEFONTAINE","38090","18900"
"14708","L'ISLE-D'ABEAU","38080","15300"
"14846","VIENNE","38200","29900"
"15369","DOLE","39100","25400"
"15375","LONS-LE-SAUNIER","39570","18100"
"15516","DAX","40100","20500"
"15665","MONT-DE-MARSAN","40000","30200"
"15745","ROMORANTIN-LANTHENAY","41200","17400"
"15840","VENDOME","41100","16700"
"15869","BLOIS","41000","46800"
"16033","FIRMINY","42700","17500"
"16124","SAINT-ETIENNE","42000-42100-42230","172700"
"16193","SAINT-CHAMOND","42400","35500"
"16326","ROANNE","42300","35900"
"16527","LE PUY-EN-VELAY","43000","18900"
"16628","CARQUEFOU","44470","17400"
"16629","SAINT-HERBLAIN","44800","43200"
"16677","BOUGUENAIS","44340","16800"
"16682","SAINT-SEBASTIEN-SUR-LOIRE","44230","24700"
"16712","COUERON","44220","18400"
"16715","ORVAULT","44700","24400"
"16754","VERTOU","44120","21400"
"16756","NANTES","44000-44100-44200-44300","283300"
"16766","REZE","44400","37900"
"16781","GUERANDE","44350","15200"
"16809","LA BAULE-ESCOUBLAC","44500","16700"
"16824","LA CHAPELLE-SUR-ERDRE","44240","17000"
"16826","SAINT-NAZAIRE","44600","66900"
"16919","SAINT-JEAN-DE-BRAYE","45800","18900"
"16925","GIEN","45500","15300"
"16959","MONTARGIS","45200","15500"
"17018","FLEURY-LES-AUBRAIS","45400","21200"
"17075","SARAN","45770","15300"
"17151","SAINT-JEAN-DE-LA-RUELLE","45140","16700"
"17162","ORLEANS","45000-45100","113300"
"17166","OLIVET","45160","20100"
"17460","CAHORS","46000","20000"
"17613","AGEN","47000","33200"
"17626","VILLENEUVE-SUR-LOT","47300","23600"
"17679","MARMANDE","47200","17900"
"18028","CHOLET","49280","54100"
"18073","ANGERS","49000-49100","148400"
"18353","SAUMUR","49400","28100"
"18385","EQUEURDREVILLE-HAINNEVILLE","50120","17400"
"18523","TOURLAVILLE","50110","16300"
"18722","CHERBOURG-OCTEVILLE","50100-50130","39800"
"18743","SAINT-LO","50000","19100"
"19044","REIMS","51100","181500"
"19045","EPERNAY","51200","24600"
"19139","CHALONS-EN-CHAMPAGNE","51000","46100"
"19842","CHAUMONT","52000","24000"
"19942","SAINT-DIZIER","52100","26400"
"20280","LAVAL","53000","50900"
"20554","NANCY","54100","106400"
"20783","LUNEVILLE","54300","20100"
"20795","VANDOEUVRE-LES-NANCY","54500","31100"
"20817","TOUL","54200","16100"
"21011","VERDUN","55100","19300"
"21189","BAR-LE-DUC","55000","15800"
"21435","LORIENT","56100","58100"
"21474","VANNES","56000","53000"
"21490","LANESTER","56600","22500"
"21513","PLOEMEUR","56270","18200"
"21715","YUTZ","57970","16200"
"21830","FORBACH","57600","21800"
"21914","METZ","57000-57050-57070","122800"
"21957","HAYANGE","57700","15400"
"22016","THIONVILLE","57100","41100"
"22205","SAINT-AVOLD","57500","16600"
"22244","SARREGUEMINES","57200","22000"
"22343","MONTIGNY-LES-METZ","57158","22800"
"22631","NEVERS","58000","37600"
"22718","ROUBAIX","59100","95900"
"22728","WATTRELOS","59150","41800"
"22729","VILLENEUVE-D'ASCQ","59491-59493-59650","62700"
"22745","LILLE","59000-59160-59260-59777-59800","225800"
"22781","MONS-EN-BAROEUL","59370","22100"
"22795","SIN-LE-NOBLE","59450","16500"
"22813","LOOS","59120","21400"
"22841","HALLUIN","59250","19900"
"22863","VALENCIENNES","59300","42700"
"22867","LA MADELEINE","59110","22200"
"22929","HAZEBROUCK","59190","21700"
"23004","MAUBEUGE","59600","32400"
"23015","TOURCOING","59200","92600"
"23036","COUDEKERQUE-BRANCHE","59210","22800"
"23070","CROIX","59170","20800"
"23084","RONCHIN","59790","18300"
"23100","DUNKERQUE","59140-59240-59430-59640-59279","93600"
"23130","SAINT-AMAND-LES-EAUX","59230","16700"
"23131","DOUAI","59500","42400"
"23171","ARMENTIERES","59280","25000"
"23173","WASQUEHAL","59290","19000"
"23191","LAMBERSART","59130","28000"
"23201","CAMBRAI","59400","32300"
"23204","MARCQ-EN-BAROEUL","59700","38900"
"23220","DENAIN","59220","20200"
"23233","HEM","59510","17700"
"23253","GRANDE-SYNTHE","59760","21000"
"23269","FACHES-THUMESNIL","59155","16700"
"23431","COMPIEGNE","60200","41600"
"23494","NOGENT-SUR-OISE","60180","19600"
"23606","SENLIS","60300","16300"
"23715","CREIL","60100","34600"
"23901","BEAUVAIS","60155","55000"
"24174","FLERS","61100","15700"
"24403","ALENCON","61000","27700"
"24717","LIEVIN","62800","32000"
"24741","HENIN-BEAUMONT","62110","25600"
"24859","ARRAS","62000","42800"
"24999","CALAIS","62100","74800"
"25018","BOULOGNE-SUR-MER","62200","43800"
"25053","BETHUNE","62400","25700"
"25103","CARVIN","62220","17400"
"25160","BRUAY-LA-BUISSIERE","62700","23700"
"25236","AVION","62210","17600"
"25373","LENS","62300","36100"
"25393","BERCK","62600","15100"
"25445","COURNON-D'AUVERGNE","63800","19100"
"25485","CLERMONT-FERRAND","63000-63100","139000"
"25542","CHAMALIERES","63400","17100"
"25690","RIOM","63200","17800"
"26044","PAU","64000","84000"
"26145","BAYONNE","64100","44500"
"26152","BIARRITZ","64200","26300"
"26332","ANGLET","64600","37900"
"26761","TARBES","65000","44200"
"26882","LOURDES","65100","15400"
"27144","PERPIGNAN","66000-66100","116700"
"27304","STRASBOURG","67000-67100-67200","272100"
"27384","BISCHHEIM","67800","17700"
"27423","SCHILTIGHEIM","67300","31100"
"27471","ILLKIRCH-GRAFFENSTADEN","67400","26700"
"27476","SELESTAT","67600","19300"
"27581","HAGUENAU","67500","35100"
"27642","LINGOLSHEIM","67380","16800"
"27682","COLMAR","68000","66900"
"27789","SAINT-LOUIS","68128","19900"
"28049","MULHOUSE","68100-68200","111900"
"28053","OULLINS","69600","25700"
"28080","VENISSIEUX","69200","57600"
"28090","VILLEFRANCHE-SUR-SAONE","69400","34200"
"28091","TASSIN-LA-DEMI-LUNE","69160","18600"
"28114","CALUIRE-ET-CUIRE","69300","40900"
"28135","SAINT-FONS","69190","17100"
"28142","SAINT-GENIS-LAVAL","69230","20100"
"28153","LYON","69001-69002-69003-69004-69005-69006-69007-69008-69009","474900"
"28159","SAINT-PRIEST","69800","41500"
"28173","VAULX-EN-VELIN","69120","40400"
"28208","VILLEURBANNE","69100","141100"
"28250","MEYZIEU","69330","29500"
"28269","BRON","69500","39100"
